title,bounty,coins,company,status,description,time
Background Blink Tracker for iOS,$45.00,"4,500",ajitadori,Open,"I am looking for a phone app which keeps my phone camera on in the background, and flashes the number of blinks I have per minute on my screen if its below some threshold. I basically want exactly this Mac app: https://github.com/sirkevinwang/Blink on mobile iOS. Since iOS normally disallows background video, you'll have to work around it by either 1) publishing on a sideloading app store, so not officially downloadable or 2) using a zoom-like technique where the video is in a small screen in the corner on top of the current application. If your expertise is Swift, you want to adapt the linked repo, or you want to reimplement in Dart/Flutter, I am open to any plan. One documentation that will be useful is this: https://developer.apple.com/documentation/avkit/adoptingpictureinpictureforvideocalls Acceptance Criteria An iOS app I can at least load onto my phone with xcode (and is ideally in-progress for review at the app store), tracks my blinks in the background v...",due 4 months ago
Need dev stack help for AI Image Web App,$40.50,"4,050",blnkk,Open,"I'd like a breakdown of the development stack used to create a web app that utilizes image generation AI to generate images for users based on models fine-tuned on user data. Specifically, need help understanding how to maintain AI models for each user - want to have image generation scripts and the model on one image/disk and handle sporadic api calls aka want the models to be accessible to scripts without incurring large GPU costs/run times.",due 4 months ago
Investigate and analyze top AI detection websites for an in-depth report,$31.50,"3,150",sekudash,Open,"Objective: Investigate and analyze top AI detection websites for an in-depth report. Task Description: You are assigned to carry out research on major AI detection websites such as ZeroGPT, CopyLeaks, GPTzero.me, Undetectable, etc. Your analysis should cover the following: The specific models/APIs or any other underlying technology they employ for AI detection. The accuracy of each website's AI detection, including the percentage of times they correctly identify AI-generated content (and also potentially inaccurately identify AI-generated content). Identification of the most reliable and precise service amongst them. Deliverables: You need to prepare a comprehensive report addressing points (1)-(3). The report should detail: The leading AI detection websites and the reasons for their dominance. The technology they use to detect AI-generated content. The accuracy level of each website's detection. The most reliable and accurate service based on your findings. This report should includ...",due 4 months ago
AI image generator for future kids - what does he or she look like?,$31.50,"3,150",Tarzelf,Open,"Currently there are a ton of AI generative avatar sites where you can generate different types of avatars, I would like to explore some more practical usage of these generative models where both parents get prompted to upload 5-10 selfies (good quality). The model will generate what their future child looks like. Acceptance Criteria The model must take into the quality of the selfies into account (you can't just upload things that aren't good quality or not selfie). It should take in parameters like the gender of the future child into account. In addition, if there could be an age factor where the images generated range from being a 1 year old baby to 6,7,8 years old.",due 11 months ago
Rust implementation of Particle Lenia for WasmEdge,$31.11,"3,111",bmorphism,Open,"Use Rust to implement Particle Lenia in a way that can be compiled to run on WasmEdge (https://wasmedge.org/book/en/) Use the guidelines and the type of memory use optimization from a similar Game of Life implementation below. Submit a compiled .wasm binary together with the codebase, and briefly talk about steps you took to make the implementation energy-efficient. Needs to be visualized using CanvasRenderingContext2D: https://developer.mozilla.org/en-US/docs/Web/API/CanvasRenderingContext2D Code to implement: https://google-research.github.io/self-organising-systems/particle-lenia/ https://colab.research.google.com/drive/14nw3aK5aOMH_brKYdRsXHKt0OgK1RteK?usp=sharing Acceptance Criteria Compiles, and has tests. Appendix - Game of Life example use std::thread; use std::time::Duration; const ROWS: usize = 30; const COLS: usize = 60; fn main() { let mut current_generation = vec![vec![false; COLS]; ROWS]; let mut next_generation = vec![vec![false; COLS...",due 9 months ago
Create a next.js 13 {app/experimental} app for popular tweet notifications,$27.00,"2,700",aidantorrence,Open,"Acceptance Criteria Uses Next.js 13 app Pings a specific SMS number whenever a twitter user in a set of twitter users {provided} tweets. The home page should display the latest tweets from the set of users in chronological order. For each tweet, there should be an input bar that on submit, you can send a reply to that tweet. Tailwind preferred I'll need the code :)",due 9 months ago
Write me a 1Inch limit order function in JS! Updated with almost-working code!,$22.50,"2,250",AskProgrammers,Open,"Write me a 1inch limit order function The network should be arbitrum https://docs.1inch.io/docs/limit-order-protocol/utils/guide/quick-start Update: no working answers have been provided. Latest pastebin code gets to the final line then: -> https://pastebin.com/dFVi9ksK The function signature: let limOrder = async (orderType='buy', outputTokenSymbol='uni', limitAmount='0.11', limitPriceUsd='5.12', inputTokenSymbol='usdc', chainId=42161, fromAddress=CRYPTO_ADDR_HERE) => { The function should return the transaction hash of the broadcasted limit order + the limit order object (so that it can be cancelled if needed) it should user ethers as the web3 library askprogrammers@gmail.com Acceptance Criteria The 1st implementation I see that runs (when I put in the required variables like private key, account and RPC URL) I'll accept immediately . I'll can pay for more crypto functions like this & hire you if you're good & motivated! import ethers from 'ethers'...",due 6 months ago
AI Price Researcher - Power Your Sales with Data-Driven Pricing,$22.50,"2,250",Benmar5656,Open,"Job Description: Benmar Electric is seeking an experienced and skilled programmer to develop an AI Price Researcher app. This app will help us gather and analyze pricing data from multiple online sources, allowing us to make informed decisions regarding item value, starting bid prices, and Buy It Now prices. The successful candidate will create a model that uses web scraping and natural language processing to deliver accurate and efficient results. Problem: Collecting and analyzing pricing data from various online sources manually is time-consuming and inefficient. There is a need for a reliable and fast tool to provide accurate pricing data, enabling users to make better pricing decisions. Acceptance Criteria: The AI Price Researcher should be able to gather data from multiple sources, such as eBay (previously sold and current listings), other marketplaces, and price guides. The tool should use web scraping and natural language processing to collect and analyze the data. The AI mo...",due 6 months ago
Replit Youtube video clipper for Evolution @Replit,$22.50,"2,250",jesse,Open,Create clips of this youtube video that will get people psyched on the Evolution @Replit series. https://www.youtube.com/watch?v=ww0W8ne4V_Y&t=1424s Acceptance Criteria Send us > 90 second videos that will grow our youtube channel with captions and/or editing that makes the clips stand out.,due 9 months ago
Install all dependencies and run ShortGPT github repo in Replit with no errors,$19.80,"1,980",newmediamavs,Open,I'm trying to get the following repo to run within Replit but am having difficulty with the installation of dependencies. https://github.com/RayVentura/ShortGPT Acceptance Criteria I would like someone to go through my version and ensure everything is installed correctly and also document for me the steps that were taken so I can replicate them in the future and understand how this was accomplished. Technical Details Link to Project https://replit.com/@newmediamavs/PixelRiot-1,due 2 months ago
Python-based video editing,$19.80,"1,980",newmediamavs,Open,"I'm looking to use open-source libraries to edit and stitch together images, audio, text, and video into composite videos similar to how Creatomate or Bannerbear APIs work. I've been able to successfully combine audio clips with images and multiple video clips into one using some combination of MoviePy and PIL but I can't seem to get the text effects to work in Replit despite trying numerous approaches. Acceptance Criteria As a user, I can programmatically combine any combination of images, text, audio, and video into a final rendered video. Utilizing effects such as pan & zoom, text animations, and positioning, I can create social media posts with effects similar to what Creatomate or Bannerbear offer. A great sample workflow would be to take 3-4 images, overlay audio on them, create a simple zoom effect on each image and transition effect between images, add tiktok style text effects to the image, and stitch everything together into one video file. Major bon...",due 7 months ago
Setup custom AgentGPT,$10.00,"1,000",TedFarni,Open,- trying to setup AgentGPT on replit and customize it so that it will write content for the chapters of textbooks. Acceptance Criteria - I just need setup and ready to run Technical Details - none Link to Project - https://github.com/reworkd/AgentGPT,due 5 months ago
microbounty multiplayer game,$10.00,"1,000",dukecrawford,Open,"prob w bounties too few players, too slow loops solv w microbounty offer microbounties on tiny probs expiry fast (in minutes/hours not days/weeks) multiplayers race to solve best solution wins 60% fastest solution wins 40% multiplayers learn more from fast best solutions hackathon always on solve little probs faster assemble big solutions faster make players learn more faster build faster extension post your offer find live offers celebrate winners order results on/off extension for any bounty page replit nostrbounty etc upsides jack dorsey now making nostr (twitter-killer) he's offering $275,000 bounty for killer GIT on nostr microbounty can start doing nostr GIT now replit can connect w nostr better nostr auth and data model is simple together stronger replit nostr better faster replit hackathon 04/25 today 5PM-10PM PST we're in let's do it :) tldr a site where people can post small bounties that other developers race to complete for fastest time and best solution (hackathon st...",due 6 months ago
Discord Multi Tool,$9.00,900,might1337,Open,i want discord multi tool to manage my tokens with capsolver.com api,due 2 weeks from now
Looking to discuss what's possible for Virtual staging AIs,$9.00,900,Danar8,Open,Looking for an experienced AI developer who has worked on similar projects previously. Want to know what's feasible as far as creating something similar to the following products for a different market--> https://www.virtualstagingai.app https://homedesigns.ai/ We can discuss over discord or Whatsapp. Thanks,due 2 months ago
Generating Multiple Weather Conditions basis one cityscape image,$9.00,900,ShivangKumar6,Open,"Lets suppose we have a cityscape image which has a sunny weather condition, can we convert the cityscape images into multiple weather conditions like: Smoke Haze Fog Storm Dust storm/sandstorm Snowy Rain Hail Thunderstorms Cloudy Overcast Clear Blue Sky Acceptance Criteria: The produced images should be production quality, and the model should be able to scale this solution to 20K images. Sample solution (which is not proper because the structure of the image is changing in the image): https://drive.google.com/file/d/1CLjrxpseJ4o6WQBRmcg4m9k634ax5M0n/view?usp=share_link The Bounty for this is $1000, we will increase the bounty once we see the solution.",due 7 months ago
Custom Sales Conversational AI for Event Engagement,$7.11,711,deveshd628,Open,"Project Title: Custom Sales Conversational AI for Event Engagement Project Description: We are seeking to develop a specialized conversational AI model that will function as an advanced sales tool to engage leads for our upcoming events. Leveraging large language models from Hugging Face or OpenAI GPT-3, this model will be meticulously customized to suit the unique needs of our business. Objective: Understand Our Business: Embed or fine-tune the selected language model with comprehensive information about our business, ensuring that it possesses a thorough understanding of our operations, products, and values. Learn from Real Conversations: Fine-tune the model with examples of real sales conversations. This will allow the model to adapt and become an exceptional sales representative, capable of mimicking the best sales strategies. Re-engage and Nurture Leads: Create a conversational sequence that engages leads who register for our free events. The model will remind them of event da...",due 3 months ago
Flet Lib Python+Flutter runninng Hot Reload on Replit,$6.30,630,gcapedro,Open,"Describe the problem you are trying to solve here: For the Flet project work with Hot Reload enabled, we have to use command ""flet run main.py"" but when using the flet command, Replit VM starts returning some shared library errors. Here are some directions: https://flet.dev/docs/guides/python/getting-started https://flet.dev/docs/guides/python/hot-reload Acceptance Criteria Be specific about what you want in the solution here. Hot Reload on Flet tested and working without any error on Replit.",due 10 months ago
Wp safelink with organic google link redirect,$6.03,603,sakshibenny,Open,"Install wp safelink script on my wordpress with organic google link redirect , Note :- i dont have have wp safelink plugin file . dm me for demo url .",due 3 months ago
lazada website category products (webscraping),$4.50,450,Sharath-lallal,Open,i have a bunch of category url of products in lazada website i need to scrap data from the categorys and the website is not proper response every time and so i need the code to do so,due 3 days from now
Brasil - Solução em Português,$4.50,450,diegofornalha,Open,"Descrição do Problema Desejamos expandir nossa comunidade no Discord, atraindo mais membros que estejam dispostos a aprender a linguagem de programação Cadence, utilizada na Flow Blockchain. Critérios de Aceitação Crie algo que possa atingir a meta de 15.000 membros no servidor do Discord nos próximo 6 meses. https://discord.gg/hT8EpC5mUN",due 1 month ago
Grid Bounty #0,$3.78,378,bmorphism,Open,"Gas fees are $0.42 for this. For 420 cycles, design a Microgrid and Perturbation that destroys it inside PowerSystemDynamics.jl simulation, submit. json of grid and execution log to claim bounty.",due 10 months ago
Create an open source UI SDK for OpenAI Assistants API,"$1,350.00","135,000",stephen42,Open,"The UI SDK should simplify the process of integrating OpenAI Assistants API into applications, enabling developers to create intelligent, personalized assistants with ease. This kit would make it easy for a developer to drop in an Assistant within an existing application. Acceptance Criteria The UI kit should provide a set of reusable components and templates for building chat interfaces, input fields, buttons, and other elements required for creating AI-powered assistants. It's likely best to reuse Shadcn for the underlying UI kit, but then build patterns specific to the Assistant. Technical Details Should be React/Nextjs Should support edge functionality Should be easily used on Vercel Should support streaming An Assistant, in this context, represents a purpose-built AI that uses OpenAI's models, can access files, maintain persistent threads, and call tools. Thread management: The SDK should facilitate creating and managing threads for user conversations, ...",due 1 day ago
Design a Python-based Social Campaign Tool with Vue.js Frontend for Real Estate Listings with GPT-4 Integration,$599.40,"59,940",JoshTeam,Open,"Objective Create a Python tool with a Vue.js frontend that assists real estate agents in designing and executing high-end social media campaigns to promote a listing, leveraging GPT-4 for insights and recommendations. Features Content Calendar: Generate a content calendar for a specified duration (e.g., 30 days, 60 days) with suggested post types (e.g., property photos, virtual tours, neighborhood highlights). Targeted Ads: Provide recommendations for ad targeting based on property type, location, and price range. Engagement Metrics: Track and report on key metrics such as likes, shares, comments, and click-through rates. Integration: Allow for integration with popular social media platforms (e.g., Facebook, Instagram, Twitter) for direct posting and ad campaign creation. GPT-4 Target Market Analysis: Query GPT-4 to identify the ideal target market for a given property, including demographics, interests, and behaviors. Engagement Hooks: Leverage GPT-4 to generate compelling hooks and ...",due 2 months ago
GPT + ElevenLabs(Voice) + Phone Call Integration to an existing app,$450.00,"45,000",SaminuSalisu1,Open,"The purpose of this project is to create an AI Agent for sales training, outbound calls, interviews. Three main criterias - Ability to pick up calls and answer questions on the phone. Data for answers provided by the main user. Ability to make calls to a list of leads from a CSV file uploaded by a user. We already have an existing front end with dashboard, backend and auth setup. Stack Next, Node Transcribe voice to text. Understand and respond to text. a. From script/ (Langchain) data. Synthesize voice (Eleven Labs) Record transcription. Ability to leave a voicemail message. a. Ability to recognize when people don't pick up the phone. Use CSV file excel sheet of phone numbers to call prospective. Use Twilio or any substitute. Ability to forward calls to a human representative.",due 2 months ago
Find and extract info on certain Job Titles from a list of Japanese Companies from any available online resource.,$450.00,"45,000",alexdlaww,Open,"I will give a list of 5 companies and I need someone to create a bot, AI tool or anything that will help to scout and find through any available online resource like articles, databases, socialnetwork and etc, the people that occupy certain job positions at those companies. For example Lead Developer, Producer, Lead Animator and e.t.c. There are 5 job positions and 5 companies. As a result I need a spreadsheet with filled info about the person as much as possible, like email, job title, start date, department that is minimum. The more the better Important Note: those are Japanese companies, so websites, articles, social media and other resources where this info could be available is in Japanese language Acceptance Criteria Prove you can do it, ideally you can provide info for 1 company and I will pay the test job. I am ok to negotiate if you request is higher than my initial offer.",due 1 month ago
Get latest stable branch of AutoGPT working on Replit,$450.00,"45,000",RobertSindall,Open,"I would like to get all the features of the latest stable branch of AutoGPT working on Replit, plus custom development. I would like help to: 0) get it working on Replit 1) building a custom plugin for a specific API 2) work on the core AutoGPT prompts to direct its behaviour 3) add a web API, so it can be called by an external application 4) deploy to Replit hosting Acceptance Criteria All of the above working Technical Details Link to Project",due 5 months ago
Custom self-hosted Ghost blog,$450.00,"45,000",AntonTroynikov,Open,"Create a simple custom theme and do integrations with email subscriptions for a self-hosted Ghost-based blog (https://ghost.org) based on a provided image moodboard, and references to other websites. Acceptance Criteria A complete ghost theme suited to the moodboard with the following pages: About: A plate to put background and contact details about the author Blog: A place to make posts (using the Ghost web UI) Notes: A place for shorter / draft posts, separate from the blog Email subscription, so that visitors can subscribe for further updates It's fine to customize an existing theme, if it suits the look & feel. Ready to deploy. It's not necessary to deploy the site once it's ready, I can do that myself.",due 8 months ago
AI Phone Survey,$360.00,"36,000",WilliamBarber7,Open,"Very similar to google duplex: https://youtu.be/D5VN56jQMWM I want you to build me a tool accessible and customizable via a website, that allows me to enter a list of phone numbers that I would like to call to conduct a phone survey and record responses to survey questions. Acceptance Criteria Familiar with available ai apis for audio to text transcription as well as with text to audio models and apis. Technical Details The major challenge here is latency and making the model sound real. I’ve been impressed with how real https://github.com/suno-ai/bark sounds and I think this would work if it can generate audio from the streamed text fast enough. Would probably help if you’re familiar with streaming chatGPT and bard responses as waiting for the full response is going to be too slow.",due 5 months ago
Speed up an AI Discord that talks to you via voice,$323.10,"32,310",PacificaTools,Open,"We have an existing open source Discord bot that is already up and running. You can see the open source repo here (https://github.com/hc20k/LLMChat). The bot is too slow The Bounty is an open competition to see how fast you can make the bot. Bonus points for making it feel natural, fluid and smooth (ex. handle interruptions, interject with 'umms' and 'ahhs' while the user is talking etc) Acceptance Criteria The bounty will go to the fastest and most natural-feeling bot. All entries must be in the form of a working Discord bot demo (send us a working invite link we can install in our server and try out). We will confirm within 24 hrs of the submission deadline if your bot has been selected. You only need to send us the code for the bot after we've paid out the bounty to you Technical Details Must be a working bot that can be installed in all channels (do not hardcode 'channel ids' for the demo). You can use any tts system, but eleven labs and bark are preferred",due 6 months ago
Bug fixes for an electron app,$315.00,"31,500",Zenthris,Open,"An Electron app that looks at https://superhuman.com/ events (when an email is viewed) and sends a desktop notification once your email is opened. We’ll share a Superhuman account with you if you don’t have one. Will also give you access to all the code so far. It's a working app on the command line. Acceptance Criteria Majority of the app is done and working on the command line. There is work to be there to: Menu bar app Full view to see all notifications as a feed Ability to link to specific email from notification Ability to set the notifications only for emails X amount of date old (1 week, 1 month, etc) Ability to exclude certain emails so that you don't get notifications from them Watch multiple accounts",due 6 months ago
Add Moralis + Firebase backend to existing Nextjs Web3 codebase,$315.00,"31,500",beatsbyjaydee,Open,"I am looking for assistance with turning my frontend build into a full-stack application using Nextjs + TailwindCSS on the frontend and Firebase + Moralis for the backend/smart contract. The app is similar in functionality to DeBank + Reddit + Telegram. In other words, there needs to be: -User profile that can authenticate and manage multiple wallets -View a user's tx history, assets, NFTs -Create/up-vote/read posts similar to Reddit -Send and manage DMs and group DMs with other users -Execute basic on-chain transactions such as swapping USDC or ETH for 10 tokens at once (can use Gelato for this) I already have the frontend polished and ready to go. I want to swap out all my consts with dummy data for a production backend. Firebase is my choice here as it's easier to maintain as a solo dev, handles real time messaging well, and already integrates nicely with Moralis SDK for the web3 functionality. This is a big bounty only going to those who have experience deploying both Moralis and...",due 7 months ago
"Add Clarity language, syntax highlighting, to Repl.it",$270.00,"27,000",hiro-protagonist,Open,"Stacks is a blockchain that brings smart contracts to Bitcoin. Its smart contract programming language is Clarity. The Stacks Replit account showcases a few Repls with Clarity code. The problem is: there isn't Clarity syntax highlighting on Replit... yet. The Bounty: Enable Clarity syntax highlighting for Repls on Replits. I suspect it's through downloading and importing the LSP into a nix package, as outlined in this blogpost by Replit, so Repl owners to then specify language and highlighting in a Repl config file. Acceptance Criteria Add whatever package so that Replit supports Clarity syntax highlighting. Minimally acceptable is adding a package to Nix such that, with one or a few commands on a Replit user's end, they can import or specify in a config file and that Replit will show Clarity syntax highlighting. Helpful Links I suspect that the LSP for Clarity referred to in the Clarity VS Code extension will be a helpful starting place: https://marketplace.vis...",due 8 months ago
Video Game Affiliate Deal and Price Comparison Plugin and Implementation to Wordpress Site,$270.00,"27,000",MattSaincome,Open,"I own hard-drive.net. I want to use plugins and some building to make my site basically add the functionality of https://gg.deals/. Must be able to focus, work fast, and get job done. Then we can do more together. Wordpress site hard-drive.net wants to add in features similar to https://gg.deals/ Lets start right away",due 9 months ago
Video Combiner,$234.00,"23,400",ajitadori,Open,"I have a set of between 2-10 videos. These videos are of a lecture classroom from different angles. Some of the videos have audio, not all. I want a command line script I can run on a folder of .mp4 files. You should detect the filenames automatically, extract the audio from the ones that have audio (we don't know in advance which ones it is), and then generate one combined video. You need to 1) Choose the highest quality audio. To start with, just choose the highest bitrate audio or one at random. To go the extra mile, you can choose the highest signal-to-noise ratio audio. 1) Automatically offset the videos correctly: they are often a few seconds offset from each other in some direction. Some multi-camera adjustment pipelines for scenes exist, you'd have to see how well they work and integrate them. 2) This combined video should smartly use heuristics to choose which video to show at that second. One good starting heuristic is that the video with the most movem...",due 4 months ago
Shopping AI Application,$225.00,"22,500",UttamKumaran,Open,"The goal of the project is to build a system that allows a user to use natural language to identify one or more items in a product database. The user needs to be able to write any sort of product related query such as ""I want a dog toy"" and the bot responds with questions that are helpful to narrow down the criteria. The bot has access to a product database which it can use to ask product specific questions. Generic questions such as price, rating, brand, etc are also available. Once narrowed down, the frontend displays the product choices that meet the criteria. Acceptance Criteria shop.claros.so is a really good inspiration Please build a basic UI with a chatbox User is able to ask for a product with some details and the resulting bot provides follow up questions until <5 items are remaining at which time the 5 items are displayed Technical Details Please use OpenAI and Pinecone if possible Database is a MySQL database with product data. Would need to connect t...",due 6 months ago
Automated YouTube Video Creator,$225.00,"22,500",hello161,Open,"Description: Looking to build an AI-powered YouTube channel by using ChatGPT, DALL-E 2 Image Generator, ElevenLabs. How it Will Work: Topic Preparation: I will manually input a Topic Idea Script, Title, and Description: Based on the topic, chatGPT generates a video script, title, and description for the video. Voiceover Generation: It uses ElevenLabs API to generate voiceovers for each line of text. Image Generation: It generates relevant images for each line of the script, based on the topic using DALLE 2. Slideshow Generation: A slideshow is created, which lines up the images to the line of text being spoken. Subtitles: Automatically adds subtitles to the video, which are auto-generated and overlaid onto the video using text-to-image tools. Final Video Creation: The generated video components are combined into a final video, which is saved as an MP4 file.",due 6 months ago
Looking to add a 3d face to a facemessh with javascript,$225.00,"22,500",ElieToubiana1,Open,"I have been playing around with the mediapipe library with facemesh to find the landmark on my face. I am looking to not only draw the landscape but do effectively a faceswap Acceptance Criteria Step 1: Explain how a face can be uploaded .. not sure if it needs to be a 3d model. Ideally just a picture Step 2: Once a face is uploaded, open a page and see the face animating as I move my face. See here: https://www.youtube.com/watch?v=-UxIfh2ATOY Technical Details These 2 links might be helpful: https://google.github.io/mediapipe/getting_started/javascript.html https://github.com/pjbelo/mediapipe-js-demos",due 10 months ago
Streamlit/Plotly App to Plot Option Skewness and IV,$198.00,"19,800",BrianRagen,Open,"I would like to create a Streamlit/Plotly app that plots the skewness (I can provide the formula) of two given options. For example, SPX put options nearest to 150 DTE and nearest to -40 and -10 delta. The plot would place dots at 15-minute intervals, and also have lines for a simple moving average, and one and two standard deviation bounds. Here is a sample of what the plot should look like: https://imgur.com/cGpPcxD I would also like to plot the at-the-money IV in the same way. I anticipate using polygon.io for data, but there may be other options. I can provide access to a private, very similar app (that I just want to extend in a few ways) to qualified applicants. Acceptance Criteria The ideal applicant would be familiar with Streamlit and/or Plotly, the Polygon API and (though probably less important, because I can provide the relevant formulas) option Greeks.",due 8 months ago
Write a specification for me,$180.00,"18,000",MartinSchrocker,Open,"Help me write a short, precise high-level specification document for the following system based on today's technology: I want to have in replit a running system that interacts with me proactively trough a telegram bot (or some othet app) that I can talk (and write) to, that runs permanently, and that then interfaces with a central component like a switchboard that passes my messages on to the Whisper API to describe it to text, and then acts upon this text. A system that has some active inner part, maybe a language model, maybe not, that puts what is necessary of this text in long-term storage, parameterizes schedulers based on its content to do specific things at later points in time, and has a set of API interfaces to AI up and running. Already having a focus on privacy perservation and user owned systems. If you want to write this document for me please send me an email with two contents: Part 1: A text describing the core functions and added values of the s...",due 17 hours from now
Create Life Tracker Like Rob Dyrdek,$180.00,"18,000",GeorgeMack1,Open,- I want to create a time tracking script that moves my calendar logs into Google sheets just like this. https://twitter.com/thesamparr/status/1461407769953722370 https://www.tiktok.com/@tscpodcast/video/7198176122293488939?lang=en I already track and tag everything in my calendar. I just need it to take that data from Google / Apple calendar -- and put it into a dashboard in Google sheets. Acceptance Criteria - It should produce an outcome identical to the one in the images attached. Technical Details - Email me and I can share my calendar set up with you. Dyrdek uses a script that moves it from calendar into sheets. Link to Project - See above.,due 3 months ago
LangChain / OpenAI / NLP Troubleshoot,$180.00,"18,000",MehradYaghmai,Open,"We are experiencing call limit requests with our app, our stack uses Langchain & OpenAI. We have parallel requests going on and looking to reduce the call limit, when we check rate limits we are well below OpenAI's limits, so would want someone with a bit more experience using Langchain and OpenAI to help us troubleshoot it. Acceptance Criteria Helped us figure out the problem faced - will share more on an initial call and screen share our code. Technical Details We use LangChain, OpenAI (GPT & Embeddings), ChromaDB, NextJS FE/BE. Ideally you should have experience in all or primarily the AI-related stack components. We suspect a NLP experience might be useful as it might be able to reduce a OpenAI call that could be replaced with NLP solution.",due 6 months ago
Fine tuning GPT-3 for video game reviews,$180.00,"18,000",MattSaincome,Open,"Hey! I run a website about video games. I want to create a specific type of video game review, but automated, and then do hundreds of them using GPT-3. So I believe I want to finetune a model to do this by pulling from several websites, which I can point you to. Need to be able to scrape data from other sites and fine tune for one particular type of output. Technical Details",due 9 months ago
Ask Dr Huberman ai questions,$180.00,"18,000",dylntrnr,Open,"I want to begin building a suite of Socratic AI tools and assistants powered by GPT. The first assistant I'd like to launch will be modeled after Dr. Andrew Huberman's knowledge so that users can ask questions about health and longevity. Ideally, it will be very similar to this website: https://huberman.rile.yt/ Fine tune GPT to Andrew Huberman's blog and interview content Create a sleek UI and interface with a field for asking questions and an area to read responses GPT responds with answers that are fine-tuned to Dr. Huberman's knowledge Ideally, after this project, I'd like to continue working with the developer on this project to launch other Socratic assistants.",due 11 months ago
Fine Tune GPT-3 or other model to generate workouts and build interface (Milestone 1/N),$180.00,"18,000",EugeneMann,Open,"I'm looking to build a simple fitness / workout generation website on GPT-3 or other model if preferred. Model will be trained on an uploaded spreadsheet of workouts and the website would generate similar workouts based on a fine tuned GPT3 /other model. Components 1. Fine-tune model and generate output Model will be tuned on example programming with the goal to produce more workouts that look like this one https://docs.google.com/spreadsheets/d/1GwlbMZD3VBrptphGaF6tS3xt6uDCLF_9VizJTWV65jI/edit#gid=0 2. Web App to generate output, view results and database to store Web app that enables user to generate more results, view output Database to store output and enable user to edit text after initial model creation Acceptance Criteria Web app that enables user to generate more results, view output and edit text. Database to store output Tuned API / model that produces results similar to input Code also provided on GitHub. Additional milestones after competition of B...",due 11 months ago
Talking Harry Potter-style Painting,$162.00,"16,200",ajitadori,Open,"Talk to a 'painting' and have it talk back, like Harry Potter paintings. Detect voice coming from the always-on speaker, and when a specific name is uttered, start paying more attention (i.e. it should detect me saying, ""Plato, what would you say about the rapid industrialization of society?""). There are many open source programs for similar wake word detection. Then, the desktop should run speech-to-text on that voice. Then, it will pass that text into chatgpt to generate the response to that conversation. While ChatGPT is generating a response, it will fill that lag gap with some templated responses (like, ""Great question! I have spent decades pondering this very idea"" or whatever). Then, using tokkingheads/another deepfakes-type model to modify both the voice and the face, to have their face pretend like they're saying the response. Once the ChatGPT text starts coming, stream it sentence by sentence to the painting so the animation looks smooth. I will run this...",due 4 months ago
Fine-Tune GPT-3,$135.00,"13,500",DM256,Open,"I would like you to create a GPT-3 program that can be used for a specific industry that will be trained by my own models and the webpages provided. Acceptance Criteria The interface needs to be similar to chatGPT AI (i.e., I can submit questions and/or statements to this fine-tuned version of GPT-3). The program needs to refer to fine-tuning models on my desktop or other local storage. The program needs to have comments explaining each part of the code so edits can be made. Your code should stay private and the code rights transfer on payment. This is a commission.",due 11 months ago
Deploy AI Colab Notebook to Endpoint,$108.00,"10,800",ajitadori,Open,"Please deploy this colab notebook: https://colab.research.google.com/drive/1bwUnj-9NnJA2EMr7eWO4I45UuBtKudg_?usp=sharing that lets any person be substituted into any video of another person. To an AI endpoint that I can easily query with a new video and a new image. There should be two modes; one where I have uploaded a video previously, and just call the API endpoint with the URL of a new image which automatically gets download and run. In the second mode, I should be able to send in the URL of a video and an image, and the image will automatically get style transferred to the video. These should be ideally deployed on replicate.com. Can also deploy on AWS or GCP -- you can use any service and any language! Acceptance Criteria I will accept anyone who provides a plan of what they will do, along with past experience like a Github or a resume.",due 7 months ago
Langchain and LLama Index Data connectors for custom knowledge base - Django Python,$107.10,"10,710",SaminuSalisu1,Open,"Describe the problem you are trying to solve here. I am looking for a python and next.js developer to build data conenctors to existing chatbot using llama index and other available options Acceptance Criteria Chat with various data sources, compile report across these datasets, and retrieve information from databases",due 2 months ago
Generate an API To Generate Professional Photos [Instructions Included],$90.00,"9,000",Robinsingh91,Open,Following this instruction - ship an api endpoint that can take pictures and outputs professional headshots https://www.youtube.com/watch?v=TpuDOsuKIBo&list=WL&index=10&t=1635s&pp=gAQBiAQB Acceptance Criteria Technical Details,due 4 months ago
Mentor Booking web app (Teach me everything I need to know),$90.00,"9,000",bagdaddy,Open,"Happy paying by the hour. Would like someone to teach me everything I need to know and understand to build a mentor/expert booking web app. To be clear, at the moment, I'm not looking for someone who can teach me to code, but to teach me what are the ingredients required and best way to go about building this. Acceptance Criteria Looking for someone who is: Patient and can teach me about all the buildings blocks required and best way to go about building this. Fluent in speaking and communicating in English. Able to accommodate GMT+3 time zone. Able to speak to me over a video call or screen sharing call. Able to dedicate a couple of hours for this over the period of a week or two. Technical Details Web app, mobile responsive. Payment happening on the web app (using Apple Pay, Google Pay, credit cards) Easy and friendly to use. Allows for booking and scheduling Link to Project Maybe https://intro.co/ is similar?",due 4 months ago
